symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events,y,ret,exit_idx,exit_time,exit_reason,bars_held,holding_bars
tsm,2011-02-07 00:00:00+00:00,TSM_EVT_20110207_000000_0,2011-02-04 00:00:00+00:00,10.1464,1,111,timestamp,0.183618751922601,10.5136375038452,9.962781248077398,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.019096936048509927,112,2011-02-08 00:00:00+00:00,SL,1,1
tsm,2011-06-23 00:00:00+00:00,TSM_EVT_20110623_000000_1,2011-06-22 00:00:00+00:00,9.44373,-1,205,timestamp,0.2160628491010757,9.011604301797847,9.659792849101075,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.023878973573055906,210,2011-06-30 00:00:00+00:00,SL,5,5
tsm,2011-07-13 00:00:00+00:00,TSM_EVT_20110713_000000_2,2011-07-12 00:00:00+00:00,9.58685,-1,218,timestamp,0.2315030364788336,9.123843927042332,9.818353036478834,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.02514797733132712,225,2011-07-22 00:00:00+00:00,SL,7,7
tsm,2011-10-28 00:00:00+00:00,TSM_EVT_20111028_000000_3,2011-10-27 00:00:00+00:00,9.879,1,294,timestamp,0.2762884685079391,10.431576937015878,9.60271153149206,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.028967250582846327,296,2011-11-01 00:00:00+00:00,SL,2,2
tsm,2012-04-02 00:00:00+00:00,TSM_EVT_20120402_000000_4,2012-03-30 00:00:00+00:00,11.7533,1,400,timestamp,0.2202129649949639,12.193725929989927,11.533087035005035,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.019736266835268745,402,2012-04-04 00:00:00+00:00,SL,2,2
tsm,2012-06-13 00:00:00+00:00,TSM_EVT_20120613_000000_5,2012-06-12 00:00:00+00:00,10.5433,-1,450,timestamp,0.2778285957056619,9.987642808588676,10.821128595705662,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.027351198932560217,454,2012-06-19 00:00:00+00:00,SL,4,4
tsm,2012-08-22 00:00:00+00:00,TSM_EVT_20120822_000000_6,2012-08-21 00:00:00+00:00,11.476,1,499,timestamp,0.238437731915427,11.952875463830855,11.237562268084574,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.021777076674401097,501,2012-08-24 00:00:00+00:00,SL,2,2
tsm,2012-10-16 00:00:00+00:00,TSM_EVT_20121016_000000_7,2012-10-15 00:00:00+00:00,12.1491,1,537,timestamp,0.2194668592071309,12.588033718414264,11.92963314079287,True,TSM_1d_15y.parquet,TSM_events.csv,1,0.03512890818367309,546,2012-10-31 00:00:00+00:00,TP,9,9
tsm,2013-06-25 00:00:00+00:00,TSM_EVT_20130625_000000_8,2013-06-24 00:00:00+00:00,13.6059,-1,708,timestamp,0.2912055985294155,13.02348880294117,13.897105598529416,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.022402891284620252,709,2013-06-26 00:00:00+00:00,SL,1,1
tsm,2013-07-26 00:00:00+00:00,TSM_EVT_20130726_000000_9,2013-07-25 00:00:00+00:00,13.8438,-1,730,timestamp,0.3528118650062598,13.13817626998748,14.19661186500626,True,TSM_1d_15y.parquet,TSM_events.csv,1,0.04997037879863342,738,2013-08-07 00:00:00+00:00,TP,8,8
tsm,2013-08-08 00:00:00+00:00,TSM_EVT_20130808_000000_10,2013-08-07 00:00:00+00:00,13.1558,-1,739,timestamp,0.3215633719050727,12.512673256189856,13.477363371905072,True,TSM_1d_15y.parquet,TSM_events.csv,0,0.011374770063394046,749,2013-08-22 00:00:00+00:00,TIMEOUT,10,10
tsm,2013-08-28 00:00:00+00:00,TSM_EVT_20130828_000000_11,2013-08-27 00:00:00+00:00,13.0828,-1,753,timestamp,0.2588354073902499,12.5651291852195,13.34163540739025,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.020784404515107657,754,2013-08-29 00:00:00+00:00,SL,1,1
tsm,2014-03-05 00:00:00+00:00,TSM_EVT_20140305_000000_12,2014-03-04 00:00:00+00:00,14.8308,1,882,timestamp,0.213343598385185,15.25748719677037,14.617456401614817,True,TSM_1d_15y.parquet,TSM_events.csv,1,0.027770342582353558,883,2014-03-06 00:00:00+00:00,TP,1,1
tsm,2014-07-14 00:00:00+00:00,TSM_EVT_20140714_000000_13,2014-07-11 00:00:00+00:00,18.5637,1,972,timestamp,0.2750650925101248,19.11383018502025,18.288634907489875,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.01581736359185537,974,2014-07-16 00:00:00+00:00,SL,2,2
tsm,2014-08-06 00:00:00+00:00,TSM_EVT_20140806_000000_14,2014-08-05 00:00:00+00:00,16.4386,-1,989,timestamp,0.3491266184146568,15.740346763170688,16.78772661841466,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.022238220919947982,994,2014-08-13 00:00:00+00:00,SL,5,5
tsm,2014-09-02 00:00:00+00:00,TSM_EVT_20140902_000000_15,2014-08-29 00:00:00+00:00,17.3112,1,1007,timestamp,0.2732806026573256,17.857761205314652,17.037919397342673,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.01678634656507505,1015,2014-09-12 00:00:00+00:00,SL,8,8
tsm,2014-11-11 00:00:00+00:00,TSM_EVT_20141111_000000_16,2014-11-10 00:00:00+00:00,18.4325,1,1057,timestamp,0.3527671214118417,19.13803424282369,18.07973287858816,True,TSM_1d_15y.parquet,TSM_events.csv,0,-0.02013832206221844,1058,2014-11-12 00:00:00+00:00,SL,1,1
