symbol,t_entry,event_id,t_signal,entry_price,direction,t_entry_idx,mode,atr_entry,tp,sl,check_ok,src_ohlcv,src_events
amd,2011-01-04 00:00:00+00:00,AMD_EVT_20110104_000000_0,2011-01-03 00:00:00+00:00,8.56,1,88,timestamp,0.21512280729502323,8.990245614590046,8.344877192704978,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2011-03-03 00:00:00+00:00,AMD_EVT_20110303_000000_1,2011-03-02 00:00:00+00:00,9.31,1,128,timestamp,0.3492923899913096,10.00858477998262,8.96070761000869,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2011-04-05 00:00:00+00:00,AMD_EVT_20110405_000000_2,2011-04-04 00:00:00+00:00,8.23,-1,151,timestamp,0.31965434950561894,7.590691300988762,8.54965434950562,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2011-05-12 00:00:00+00:00,AMD_EVT_20110512_000000_3,2011-05-11 00:00:00+00:00,8.78,1,177,timestamp,0.255360671030877,9.290721342061753,8.524639328969123,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2011-06-16 00:00:00+00:00,AMD_EVT_20110616_000000_4,2011-06-15 00:00:00+00:00,7.65,-1,201,timestamp,0.23414976647068453,7.181700467058631,7.884149766470685,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2011-10-14 00:00:00+00:00,AMD_EVT_20111014_000000_5,2011-10-13 00:00:00+00:00,5.05,-1,285,timestamp,0.3378997656773105,4.374200468645379,5.38789976567731,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2012-04-03 00:00:00+00:00,AMD_EVT_20120403_000000_6,2012-04-02 00:00:00+00:00,8.09,1,402,timestamp,0.24317936311330124,8.576358726226601,7.846820636886699,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2012-11-06 00:00:00+00:00,AMD_EVT_20121106_000000_7,2012-11-05 00:00:00+00:00,2.12,-1,551,timestamp,0.15311021588003318,1.8137795682399338,2.2731102158800334,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2013-01-15 00:00:00+00:00,AMD_EVT_20130115_000000_8,2013-01-14 00:00:00+00:00,2.62,1,598,timestamp,0.12274418288720092,2.865488365774402,2.497255817112799,True,AMD_1d_15y.parquet,AMD_events.csv
amd,2013-08-20 00:00:00+00:00,AMD_EVT_20130820_000000_9,2013-08-19 00:00:00+00:00,3.62,-1,748,timestamp,0.14463286235931372,3.3307342752813724,3.764632862359314,True,AMD_1d_15y.parquet,AMD_events.csv
